node_1,node_2,weight
3,13,67.340838809393
3,16,72.55972128009
2,5,382.718543464903
5,14,41.827958459884
5,20,79.566259337619
1,5,141.631446894748
7,8,172.407155291745
8,17,144.547862823581
10,19,40.841596159559
10,18,114.334224021039
6,19,317.964205374292
0,4,244.32077754971
0,9,230.132796666322
2,17,165.877809964552
4,9,304.580476623228
4,12,54.228637912494
4,13,131.371520721628
6,14,95.718737560362
9,11,167.131421183192
1,12,70.22999479164
13,16,275.058340784694
11,13,152.660142098699
7,15,74.617486922735
15,17,68.472834744167
1,15,69.370767049222
1,7,292.02039348797
14,18,81.336075340486
1,20,162.797453738165
